file,samples,duration_s,MSE_x,MSE_y,MSE_z,MSE_total,RMSE_x,RMSE_y,RMSE_z,RMSE_total
flight_20260312_153651_3D_HELIX.csv,586,58.59,0.262929,0.218120,0.000136,0.481186,0.512766,0.467034,0.011665,0.693676
flight_20260312_160235_2D_SINE.csv,608,60.75,0.053431,0.000888,0.053156,0.107476,0.231152,0.029807,0.230556,0.327835
flight_20260312_161831_2D_STRAIGHT_F.csv,196,19.53,153.703193,0.037040,0.000059,153.740291,12.397709,0.192457,0.007665,12.399205
flight_20260312_162045_2D_RAMP_WAVE.csv,583,58.26,0.380188,0.006298,0.232554,0.619040,0.616594,0.079360,0.482238,0.786791
flight_20260312_162418_3D_STRAIGHT.csv,201,20.08,0.649253,0.066960,0.001654,0.717868,0.805763,0.258767,0.040668,0.847271
flight_20260312_162643_3D_FIGURE8.csv,525,52.48,0.105600,0.089593,0.021172,0.216365,0.324962,0.299321,0.145505,0.465151
flight_20260312_165112_GOTO_1.0_1.0_3.0.csv,67,6.69,0.132136,0.117524,0.138090,0.387750,0.363505,0.342818,0.371605,0.622695
flight_20260312_174049_3D_HELIX_wind.csv,477,47.62,0.368166,0.246310,0.000184,0.614660,0.606767,0.496296,0.013563,0.784003
flight_20260312_174300_3D_STRAIGHT_wind.csv,155,15.44,1.271385,0.147157,0.001821,1.420363,1.127557,0.383610,0.042679,1.191790
flight_20260312_174357_3D_FIGURE8_wind.csv,569,56.83,0.207621,0.105926,0.021185,0.334732,0.455655,0.325463,0.145551,0.578560
flight_20260312_174626_2D_SINE_wind.csv,883,88.22,0.348109,0.010650,0.054809,0.413568,0.590007,0.103197,0.234114,0.643092
flight_20260312_174858_2D_STRAIGHT_F_wind.csv,687,68.62,1700.778955,0.005680,0.000016,1700.784651,41.240501,0.075364,0.004049,41.240570
flight_20260312_175120_2D_RAMP_WAVE_wind.csv,600,59.95,0.943645,0.003835,0.232872,1.180352,0.971414,0.061926,0.482568,1.086440
