time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.092,0.0000,0.0000,2.0049,0.0890,0.0020,2.0138,0.0002,0.0000,0.0032,-0.0000,0.0017,0.0000
0.192,0.0003,0.0000,2.0057,0.1887,0.0089,2.0238,0.0078,0.0003,0.0118,-0.0009,0.0188,-0.0000
0.292,0.0026,0.0001,2.0074,0.2880,0.0208,2.0338,0.0398,0.0024,0.0228,-0.0041,0.0513,-0.0000
0.392,0.0099,0.0007,2.0103,0.3866,0.0377,2.0438,0.1050,0.0089,0.0322,-0.0102,0.0849,-0.0001
0.492,0.0253,0.0022,2.0139,0.4841,0.0595,2.0538,0.1990,0.0224,0.0385,-0.0187,0.1102,-0.0002
0.592,0.0513,0.0056,2.0180,0.5805,0.0861,2.0638,0.3115,0.0447,0.0436,-0.0283,0.1238,-0.0000
0.692,0.0847,0.0110,2.0222,0.6660,0.1142,2.0728,0.4190,0.0728,0.0488,-0.0370,0.1263,0.0002
0.792,0.1331,0.0204,2.0275,0.7595,0.1498,2.0828,0.5356,0.1124,0.0562,-0.0455,0.1198,0.0006
0.895,0.1926,0.0341,2.0336,0.8510,0.1901,2.0928,0.6407,0.1590,0.0656,-0.0518,0.1059,0.0010
0.992,0.2616,0.0528,2.0407,0.9404,0.2349,2.1028,0.7284,0.2100,0.0766,-0.0555,0.0875,0.0014
1.096,0.3384,0.0767,2.0489,1.0274,0.2841,2.1128,0.7956,0.2627,0.0879,-0.0564,0.0671,0.0015
1.191,0.4206,0.1058,2.0582,1.1119,0.3376,2.1228,0.8417,0.3143,0.0984,-0.0552,0.0473,0.0013
1.293,0.4978,0.1363,2.0674,1.1855,0.3893,2.1318,0.8685,0.3632,0.1074,-0.0528,0.0314,0.0010
1.392,0.5852,0.1747,2.0784,1.2646,0.4505,2.1418,0.8789,0.4082,0.1145,-0.0492,0.0165,0.0007
