time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.051,0.0000,-0.0000,2.0000,0.0132,0.0000,2.0220,0.0000,0.0000,0.0007,-0.0000,0.0000,-0.0000
0.152,0.0000,-0.0000,2.0006,0.0402,0.0000,2.0670,0.0008,0.0000,0.0168,-0.0000,0.0022,-0.0000
0.251,0.0003,0.0000,2.0038,0.0702,0.0000,2.1167,0.0068,0.0001,0.0519,-0.0001,0.0098,-0.0000
0.354,0.0016,0.0000,2.0110,0.1002,0.0000,2.1662,0.0204,0.0003,0.0947,-0.0004,0.0199,-0.0000
0.451,0.0049,0.0001,2.0235,0.1302,0.0000,2.2153,0.0450,0.0009,0.1493,-0.0010,0.0291,0.0000
0.551,0.0111,0.0002,2.0415,0.1602,0.0000,2.2638,0.0776,0.0023,0.2065,-0.0019,0.0353,0.0000
0.651,0.0209,0.0006,2.0653,0.1902,0.0000,2.3117,0.1145,0.0047,0.2632,-0.0029,0.0380,0.0000
0.751,0.0344,0.0012,2.0946,0.2202,0.0000,2.3588,0.1520,0.0080,0.3169,-0.0037,0.0376,0.0000
0.851,0.0497,0.0021,2.1254,0.2472,0.0000,2.4004,0.1869,0.0121,0.3657,-0.0042,0.0347,0.0000
0.951,0.0698,0.0035,2.1639,0.2772,0.0000,2.4457,0.2143,0.0158,0.4040,-0.0043,0.0300,0.0000
1.051,0.0927,0.0053,2.2064,0.3072,0.0000,2.4899,0.2393,0.0198,0.4407,-0.0038,0.0246,0.0000
1.151,0.1177,0.0075,2.2521,0.3372,0.0000,2.5329,0.2583,0.0230,0.4696,-0.0030,0.0194,0.0000
1.253,0.1443,0.0099,2.3003,0.3672,0.0000,2.5745,0.2719,0.0251,0.4914,-0.0018,0.0145,0.0000
1.351,0.1721,0.0125,2.3503,0.3972,0.0000,2.6147,0.2809,0.0260,0.5069,-0.0006,0.0109,0.0000
1.453,0.1976,0.0148,2.3964,0.4242,0.0000,2.6496,0.2865,0.0257,0.5163,0.0005,0.0085,0.0000
1.551,0.2264,0.0174,2.4483,0.4542,0.0000,2.6867,0.2897,0.0245,0.5194,0.0015,0.0067,0.0000
1.651,0.2555,0.0197,2.5001,0.4842,0.0000,2.7222,0.2916,0.0223,0.5178,0.0023,0.0055,0.0000
1.751,0.2848,0.0218,2.5516,0.5142,0.0000,2.7559,0.2927,0.0196,0.5118,0.0028,0.0050,0.0001
1.851,0.3141,0.0236,2.6023,0.5442,0.0000,2.7877,0.2934,0.0165,0.5016,0.0030,0.0048,0.0001
1.953,0.3434,0.0251,2.6517,0.5742,0.0000,2.8175,0.2939,0.0135,0.4877,0.0029,0.0047,0.0001
2.051,0.3729,0.0262,2.6996,0.6042,0.0000,2.8452,0.2945,0.0106,0.4708,0.0027,0.0048,0.0001
2.174,0.3994,0.0271,2.7411,0.6312,0.0000,2.8684,0.2951,0.0080,0.4514,0.0024,0.0050,0.0001
2.251,0.4289,0.0278,2.7853,0.6612,0.0000,2.8921,0.2959,0.0060,0.4323,0.0019,0.0052,0.0001
2.351,0.4586,0.0283,2.8273,0.6912,0.0000,2.9136,0.2969,0.0043,0.4097,0.0015,0.0054,0.0001
2.451,0.4883,0.0286,2.8669,0.7212,0.0000,2.9328,0.2979,0.0030,0.3855,0.0011,0.0054,0.0001
2.551,0.5182,0.0289,2.9041,0.7512,0.0000,2.9496,0.2989,0.0020,0.3595,0.0008,0.0051,0.0001
2.652,0.5481,0.0290,2.9386,0.7782,0.0000,2.9628,0.2995,0.0014,0.3329,0.0005,0.0049,0.0001
2.751,0.5781,0.0292,2.9704,0.8112,0.0000,2.9762,0.3001,0.0010,0.3053,0.0003,0.0048,0.0001
2.851,0.6051,0.0292,2.9966,0.8382,0.0000,2.9849,0.3004,0.0008,0.2768,0.0002,0.0046,0.0001
2.951,0.6352,0.0293,3.0230,0.8682,0.0000,2.9923,0.3007,0.0007,0.2512,0.0001,0.0046,0.0001
3.051,0.6652,0.0294,3.0465,0.8982,0.0000,2.9973,0.3008,0.0006,0.2217,0.0000,0.0044,0.0001
3.154,0.6953,0.0294,3.0670,0.9282,0.0000,2.9997,0.3008,0.0006,0.1922,0.0000,0.0043,0.0001
3.251,0.7254,0.0295,3.0846,0.9582,0.0000,2.9997,0.3008,0.0006,0.1628,0.0000,0.0044,0.0001
3.361,0.7525,0.0295,3.0979,0.9852,0.0000,2.9975,0.3007,0.0006,0.1355,0.0000,0.0041,0.0001
3.451,0.7825,0.0296,3.1098,1.0152,0.0000,2.9927,0.3004,0.0005,0.1050,0.0001,0.0041,0.0001
3.551,0.8125,0.0296,3.1186,1.0452,0.0000,2.9854,0.3002,0.0004,0.0746,0.0001,0.0042,0.0001
3.651,0.8426,0.0297,3.1244,1.0752,0.0000,2.9756,0.3001,0.0004,0.0440,0.0001,0.0043,0.0001
3.751,0.8726,0.0297,3.1271,1.1052,0.0000,2.9635,0.3001,0.0003,0.0138,0.0001,0.0044,0.0001
3.853,0.8996,0.0297,3.1270,1.1322,0.0000,2.9504,0.3001,0.0002,-0.0131,0.0001,0.0044,0.0001
3.951,0.9296,0.0298,3.1241,1.1622,0.0000,2.9337,0.3001,0.0002,-0.0428,0.0000,0.0041,0.0001
4.083,0.9566,0.0298,3.1189,1.1892,0.0000,2.9166,0.2998,0.0001,-0.0724,0.0000,0.0040,0.0001
4.151,0.9866,0.0298,3.1103,1.2192,0.0000,2.8955,0.2995,0.0001,-0.1020,0.0000,0.0041,0.0001
4.251,1.0165,0.0298,3.0988,1.2492,0.0000,2.8722,0.2994,0.0001,-0.1310,0.0000,0.0044,0.0001
4.357,1.0464,0.0298,3.0844,1.2792,0.0000,2.8466,0.2995,0.0001,-0.1569,0.0000,0.0044,0.0001
4.451,1.0764,0.0298,3.0672,1.3092,0.0000,2.8190,0.2995,0.0000,-0.1854,0.0000,0.0043,0.0001
4.554,1.1034,0.0298,3.0492,1.3362,0.0000,2.7923,0.2995,0.0000,-0.2135,-0.0000,0.0044,0.0001
4.651,1.1363,0.0298,3.0242,1.3692,0.0000,2.7576,0.2997,0.0001,-0.2412,-0.0000,0.0046,0.0001
4.751,1.1663,0.0298,2.9986,1.3992,0.0000,2.7240,0.2999,0.0001,-0.2681,-0.0000,0.0047,0.0001
4.851,1.1933,0.0298,2.9733,1.4262,0.0000,2.6922,0.3002,0.0001,-0.2940,-0.0000,0.0047,0.0001
4.951,1.2233,0.0298,2.9428,1.4562,0.0000,2.6553,0.3005,0.0002,-0.3163,-0.0001,0.0046,0.0001
5.051,1.2534,0.0299,2.9098,1.4862,0.0000,2.6167,0.3006,0.0002,-0.3407,-0.0001,0.0044,0.0001
5.151,1.2834,0.0299,2.8744,1.5162,0.0000,2.5766,0.3006,0.0003,-0.3643,-0.0000,0.0044,0.0001
5.251,1.3135,0.0299,2.8367,1.5462,0.0000,2.5351,0.3006,0.0003,-0.3868,-0.0000,0.0044,0.0001
5.352,1.3436,0.0299,2.7969,1.5762,0.0000,2.4922,0.3006,0.0003,-0.4083,-0.0000,0.0044,0.0001
5.451,1.3736,0.0300,2.7549,1.6062,0.0000,2.4481,0.3006,0.0003,-0.4282,-0.0000,0.0042,0.0001
5.554,1.4007,0.0300,2.7155,1.6332,0.0000,2.4074,0.3005,0.0003,-0.4475,0.0000,0.0042,0.0001
5.651,1.4307,0.0300,2.6700,1.6632,0.0000,2.3612,0.3004,0.0003,-0.4631,0.0000,0.0042,0.0001
5.751,1.4607,0.0301,2.6228,1.6932,0.0000,2.3142,0.3001,0.0003,-0.4798,0.0000,0.0041,0.0001
5.851,1.4907,0.0301,2.5739,1.7232,0.0000,2.2663,0.2999,0.0003,-0.4955,0.0000,0.0041,0.0001
5.962,1.5207,0.0301,2.5236,1.7532,0.0000,2.2178,0.2997,0.0003,-0.5100,0.0000,0.0041,0.0001
6.052,1.5477,0.0302,2.4770,1.7802,0.0000,2.1737,0.2996,0.0002,-0.5233,0.0000,0.0043,0.0001
6.151,1.5806,0.0302,2.4188,1.8132,0.0000,2.1193,0.2996,0.0002,-0.5357,0.0000,0.0044,0.0001
6.252,1.6076,0.0302,2.3701,1.8402,0.0000,2.0745,0.2997,0.0002,-0.5451,0.0000,0.0044,0.0001
6.351,1.6376,0.0302,2.3151,1.8702,0.0000,2.0246,0.2997,0.0002,-0.5544,-0.0000,0.0044,0.0001
6.453,1.6675,0.0302,2.2592,1.9002,0.0000,1.9746,0.2998,0.0002,-0.5624,-0.0000,0.0044,0.0001
6.551,1.6975,0.0302,2.2026,1.9302,0.0000,1.9247,0.2998,0.0002,-0.5691,-0.0000,0.0044,0.0001
6.651,1.7275,0.0303,2.1454,1.9602,0.0000,1.8749,0.2999,0.0002,-0.5737,-0.0000,0.0043,0.0001
6.751,1.7575,0.0303,2.0878,1.9902,0.0000,1.8255,0.2999,0.0002,-0.5773,-0.0000,0.0043,0.0001
6.851,1.7845,0.0303,2.0357,2.0172,0.0000,1.7814,0.2999,0.0002,-0.5797,-0.0000,0.0043,0.0001
6.951,1.8145,0.0303,1.9777,2.0472,0.0000,1.7329,0.2999,0.0003,-0.5805,-0.0000,0.0044,0.0001
7.051,1.8445,0.0304,1.9197,2.0772,0.0000,1.6850,0.3000,0.0003,-0.5801,-0.0000,0.0045,0.0001
7.152,1.8745,0.0304,1.8618,2.1072,0.0000,1.6380,0.3001,0.0003,-0.5779,-0.0000,0.0044,0.0001
7.251,1.9045,0.0304,1.8041,2.1372,0.0000,1.5919,0.3002,0.0003,-0.5748,-0.0000,0.0044,0.0001
7.351,1.9345,0.0304,1.7469,2.1672,0.0000,1.5468,0.3003,0.0003,-0.5693,-0.0000,0.0044,0.0001
7.451,1.9615,0.0305,1.6960,2.1942,0.0000,1.5071,0.3003,0.0003,-0.5624,-0.0000,0.0042,0.0001
7.551,1.9916,0.0305,1.6401,2.2242,0.0000,1.4642,0.3001,0.0003,-0.5538,-0.0000,0.0041,0.0001
7.651,2.0216,0.0305,1.5852,2.2542,0.0000,1.4227,0.2999,0.0003,-0.5456,0.0000,0.0041,0.0001
7.751,2.0516,0.0305,1.5312,2.2842,0.0000,1.3826,0.2997,0.0003,-0.5353,0.0000,0.0042,0.0001
7.864,2.0785,0.0306,1.4835,2.3112,0.0000,1.3479,0.2997,0.0002,-0.5241,0.0000,0.0043,0.0001
7.951,2.1115,0.0306,1.4265,2.3442,0.0000,1.3072,0.2999,0.0002,-0.5109,0.0000,0.0045,0.0001
8.051,2.1385,0.0306,1.3812,2.3712,0.0000,1.2754,0.3000,0.0002,-0.4960,0.0000,0.0044,0.0001
8.151,2.1685,0.0306,1.3323,2.4012,0.0000,1.2419,0.3001,0.0002,-0.4819,-0.0000,0.0043,0.0001
