time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.030,-0.0000,-0.0000,2.0064,0.0570,0.0000,2.0065,-0.0000,-0.0000,-0.0019,-0.0000,0.0000,0.0000
0.131,0.0001,0.0000,2.0067,0.3570,0.0000,2.0065,0.0020,0.0000,0.0080,-0.0000,0.0096,-0.0000
0.230,0.0013,0.0000,2.0078,0.6570,0.0000,2.0065,0.0285,0.0002,0.0123,-0.0005,0.0557,-0.0000
0.331,0.0082,0.0001,2.0092,0.9570,0.0000,2.0065,0.1121,0.0013,0.0134,-0.0023,0.1247,-0.0000
0.430,0.0271,0.0004,2.0101,1.2570,0.0000,2.0065,0.2606,0.0050,0.0026,-0.0061,0.1888,-0.0001
0.530,0.0638,0.0013,2.0093,1.5570,0.0000,2.0065,0.4610,0.0132,-0.0182,-0.0118,0.2341,-0.0001
0.630,0.1226,0.0033,2.0063,1.8570,0.0000,2.0065,0.6936,0.0274,-0.0402,-0.0176,0.2558,0.0000
0.731,0.1960,0.0067,2.0019,2.1270,0.0000,2.0065,0.9134,0.0455,-0.0552,-0.0236,0.2599,0.0004
0.830,0.3005,0.0126,1.9959,2.4270,0.0000,2.0065,1.1523,0.0708,-0.0622,-0.0281,0.2465,0.0010
0.936,0.4280,0.0212,1.9896,2.7270,0.0000,2.0065,1.3702,0.0992,-0.0576,-0.0297,0.2200,0.0016
1.030,0.5755,0.0327,1.9844,3.0270,0.0000,2.0065,1.5558,0.1276,-0.0438,-0.0280,0.1856,0.0020
1.130,0.7395,0.0468,1.9807,3.3270,0.0000,2.0065,1.7032,0.1523,-0.0251,-0.0231,0.1492,0.0021
1.230,0.9161,0.0631,1.9790,3.6270,0.0000,2.0065,1.8127,0.1704,-0.0055,-0.0157,0.1151,0.0020
1.330,1.0829,0.0790,1.9792,3.8970,0.0000,2.0065,1.8822,0.1795,0.0124,-0.0078,0.0885,0.0019
1.430,1.2741,0.0971,1.9812,4.1970,0.0000,2.0065,1.9323,0.1809,0.0299,0.0012,0.0638,0.0018
1.530,1.4690,0.1149,1.9846,4.4970,0.0000,2.0065,1.9595,0.1736,0.0403,0.0092,0.0451,0.0019
1.635,1.6657,0.1315,1.9889,4.7970,0.0000,2.0065,1.9711,0.1595,0.0453,0.0153,0.0340,0.0021
