time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.060,0.0000,0.0000,2.0096,0.1056,0.0000,2.1078,0.0014,0.0000,0.0230,-0.0000,0.0054,-0.0000
0.165,0.0008,0.0000,2.0146,0.1856,0.0000,2.1828,0.0151,0.0001,0.0759,-0.0003,0.0255,-0.0000
0.260,0.0042,0.0000,2.0261,0.2656,0.0000,2.2578,0.0544,0.0007,0.1487,-0.0010,0.0529,-0.0000
0.361,0.0119,0.0002,2.0431,0.3376,0.0000,2.3253,0.1218,0.0025,0.2304,-0.0024,0.0753,-0.0000
0.460,0.0300,0.0006,2.0731,0.4176,0.0000,2.4003,0.2109,0.0063,0.3148,-0.0046,0.0925,0.0000
0.560,0.0535,0.0014,2.1052,0.4976,0.0000,2.4753,0.3012,0.0119,0.3903,-0.0072,0.1000,0.0001
0.661,0.0892,0.0031,2.1487,0.5776,0.0000,2.5503,0.4031,0.0205,0.4716,-0.0095,0.0985,0.0001
0.760,0.1348,0.0057,2.2002,0.6576,0.0000,2.6253,0.4978,0.0311,0.5484,-0.0110,0.0898,0.0002
0.860,0.1893,0.0094,2.2589,0.7376,0.0000,2.7003,0.5793,0.0424,0.6188,-0.0111,0.0768,0.0002
0.960,0.2510,0.0143,2.3243,0.8176,0.0000,2.7753,0.6445,0.0530,0.6820,-0.0100,0.0621,0.0002
1.065,0.3113,0.0195,2.3881,0.8896,0.0000,2.8428,0.6930,0.0617,0.7362,-0.0081,0.0491,0.0002
1.160,0.3823,0.0259,2.4638,0.9696,0.0000,2.9178,0.7264,0.0675,0.7808,-0.0050,0.0364,0.0002
1.267,0.4560,0.0328,2.5435,1.0496,0.0000,2.9928,0.7459,0.0697,0.8137,-0.0017,0.0265,0.0002
1.360,0.5314,0.0398,2.6265,1.1296,0.0000,3.0678,0.7591,0.0689,0.8429,0.0015,0.0199,0.0002
1.460,0.6078,0.0465,2.7121,1.2096,0.0000,3.1428,0.7665,0.0652,0.8647,0.0043,0.0158,0.0003
1.560,0.6847,0.0527,2.7995,1.2896,0.0000,3.2178,0.7706,0.0590,0.8813,0.0063,0.0138,0.0003
1.660,0.7619,0.0582,2.8882,1.3696,0.0000,3.2928,0.7730,0.0513,0.8910,0.0076,0.0125,0.0004
1.760,0.8392,0.0629,2.9776,1.4496,0.0000,3.3678,0.7743,0.0428,0.8957,0.0081,0.0120,0.0004
1.860,0.9090,0.0663,3.0583,1.5216,0.0000,3.4353,0.7758,0.0344,0.8981,0.0078,0.0129,0.0005
1.967,0.9867,0.0694,3.1482,1.6016,0.0000,3.5073,0.7782,0.0273,0.8986,0.0070,0.0142,0.0005
2.060,1.0647,0.0718,3.2374,1.6816,0.0000,3.4323,0.7814,0.0206,0.8786,0.0061,0.0146,0.0005
2.164,1.1430,0.0735,3.3213,1.7616,0.0000,3.3573,0.7843,0.0149,0.7969,0.0058,0.0149,0.0005
2.260,1.2216,0.0747,3.3940,1.8416,0.0000,3.2823,0.7869,0.0099,0.6634,0.0056,0.0150,0.0005
2.360,1.3004,0.0755,3.4513,1.9216,0.0000,3.2073,0.7892,0.0053,0.4960,0.0051,0.0151,0.0005
2.460,1.3794,0.0758,3.4909,2.0016,0.0000,3.1323,0.7914,0.0015,0.3127,0.0042,0.0151,0.0005
2.560,1.4507,0.0758,3.5106,2.0736,0.0000,3.0648,0.7936,-0.0014,0.1273,0.0031,0.0153,0.0005
2.660,1.5302,0.0755,3.5153,2.1536,0.0000,2.9898,0.7955,-0.0032,-0.0333,0.0019,0.0149,0.0005
2.760,1.6098,0.0751,3.5026,2.2336,0.0000,2.9148,0.7973,-0.0042,-0.2005,0.0006,0.0147,0.0005
2.860,1.6897,0.0747,3.4742,2.3136,0.0000,2.8398,0.7991,-0.0043,-0.3513,-0.0005,0.0143,0.0005
2.960,1.7697,0.0743,3.4316,2.3936,0.0000,2.7648,0.8006,-0.0035,-0.4827,-0.0013,0.0138,0.0005
3.062,1.8498,0.0741,3.3769,2.4736,0.0000,2.6898,0.8014,-0.0020,-0.5968,-0.0019,0.0126,0.0005
3.160,1.9219,0.0740,3.3187,2.5456,0.0000,2.6223,0.8016,-0.0002,-0.6940,-0.0021,0.0124,0.0005
3.260,2.0021,0.0740,3.2456,2.6256,0.0000,2.5473,0.8019,0.0016,-0.7667,-0.0021,0.0126,0.0005
3.360,2.0823,0.0743,3.1652,2.7056,0.0000,2.4723,0.8026,0.0034,-0.8312,-0.0020,0.0125,0.0005
3.460,2.1626,0.0747,3.0792,2.7856,0.0000,2.3973,0.8029,0.0051,-0.8815,-0.0017,0.0120,0.0005
3.560,2.2429,0.0753,2.9889,2.8656,0.0000,2.3223,0.8030,0.0064,-0.9187,-0.0013,0.0118,0.0005
3.660,2.3152,0.0759,2.9050,2.9376,0.0000,2.2548,0.8028,0.0073,-0.9460,-0.0008,0.0113,0.0005
3.760,2.3954,0.0767,2.8094,3.0176,0.0000,2.1798,0.8023,0.0077,-0.9631,-0.0004,0.0113,0.0005
3.860,2.4756,0.0775,2.7124,3.0976,0.0000,2.1048,0.8020,0.0078,-0.9752,0.0001,0.0113,0.0005
3.960,2.5558,0.0782,2.6146,3.1696,0.0000,2.0373,0.8018,0.0075,-0.9796,0.0004,0.0113,0.0005
4.060,2.6360,0.0789,2.5168,3.2576,0.0000,2.0628,0.8013,0.0069,-0.9714,0.0005,0.0108,0.0005
4.160,2.7161,0.0796,2.4229,3.3376,0.0000,2.1378,0.8010,0.0064,-0.9037,0.0001,0.0111,0.0005
4.260,2.7962,0.0803,2.3389,3.4176,0.0000,2.2128,0.8014,0.0066,-0.7809,-0.0008,0.0116,0.0005
4.361,2.8684,0.0809,2.2756,3.4896,0.0000,2.2803,0.8025,0.0078,-0.6204,-0.0013,0.0116,0.0005
4.461,2.9487,0.0817,2.2215,3.5696,0.0000,2.3553,0.8032,0.0090,-0.4596,-0.0012,0.0110,0.0005
4.560,3.0290,0.0827,2.1858,3.6496,0.0000,2.4303,0.8036,0.0101,-0.2730,-0.0007,0.0107,0.0005
4.661,3.1094,0.0837,2.1686,3.7296,0.0000,2.5053,0.8034,0.0103,-0.0895,0.0001,0.0101,0.0005
4.760,3.1897,0.0847,2.1693,3.8096,0.0000,2.5803,0.8027,0.0096,0.0842,0.0010,0.0098,0.0005
4.860,3.2619,0.0855,2.1842,3.8816,0.0000,2.6478,0.8017,0.0079,0.2427,0.0017,0.0096,0.0005
