time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.087,0.0000,0.0000,2.0003,0.0740,0.0370,2.0150,0.0001,0.0001,0.0031,-0.0008,0.0009,0.0000
0.184,0.0002,0.0002,2.0012,0.1740,0.0870,2.0350,0.0055,0.0048,0.0140,-0.0126,0.0150,0.0000
0.284,0.0020,0.0017,2.0034,0.2740,0.1370,2.0550,0.0331,0.0266,0.0307,-0.0341,0.0457,-0.0003
0.384,0.0084,0.0065,2.0075,0.3740,0.1870,2.0750,0.0934,0.0690,0.0489,-0.0529,0.0795,-0.0009
0.485,0.0224,0.0165,2.0134,0.4640,0.2320,2.0930,0.1836,0.1270,0.0652,-0.0661,0.1056,-0.0009
0.584,0.0438,0.0309,2.0200,0.5640,0.2820,2.1130,0.2936,0.1950,0.0815,-0.0730,0.1193,-0.0002
0.691,0.0784,0.0537,2.0289,0.6640,0.3320,2.1330,0.3998,0.2598,0.0968,-0.0755,0.1240,0.0008
0.784,0.1249,0.0836,2.0396,0.7640,0.3820,2.1530,0.5163,0.3312,0.1158,-0.0729,0.1189,0.0018
0.884,0.1825,0.1204,2.0523,0.8640,0.4320,2.1730,0.6228,0.3971,0.1364,-0.0663,0.1071,0.0024
0.984,0.2499,0.1633,2.0670,0.9640,0.4820,2.1930,0.7141,0.4542,0.1579,-0.0569,0.0915,0.0025
1.084,0.3256,0.2114,2.0839,1.0640,0.5320,2.2130,0.7877,0.4999,0.1791,-0.0455,0.0744,0.0022
1.184,0.3991,0.2580,2.1008,1.1540,0.5770,2.2310,0.8434,0.5333,0.1982,-0.0353,0.0599,0.0017
1.284,0.4854,0.3124,2.1214,1.2540,0.6270,2.2510,0.8800,0.5536,0.2133,-0.0248,0.0462,0.0011
1.385,0.5750,0.3686,2.1434,1.3540,0.6770,2.2710,0.9083,0.5661,0.2262,-0.0156,0.0354,0.0007
1.484,0.6670,0.4255,2.1665,1.4540,0.7270,2.2910,0.9272,0.5706,0.2366,-0.0091,0.0284,0.0005
1.584,0.7604,0.4825,2.1905,1.5540,0.7770,2.3110,0.9399,0.5692,0.2431,-0.0037,0.0235,0.0004
1.684,0.8549,0.5392,2.2151,1.6540,0.8270,2.3310,0.9485,0.5633,0.2474,-0.0005,0.0208,0.0005
