time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.075,0.0000,0.0000,2.0288,0.0402,0.0402,2.0495,0.0000,0.0001,-0.0049,-0.0007,0.0004,0.0000
0.175,0.0001,0.0002,2.0297,0.1002,0.1000,2.0795,0.0029,0.0050,0.0213,-0.0137,0.0082,0.0000
0.276,0.0011,0.0018,2.0336,0.1600,0.1595,2.1092,0.0186,0.0298,0.0548,-0.0387,0.0259,-0.0002
0.375,0.0047,0.0073,2.0411,0.2198,0.2184,2.1387,0.0537,0.0790,0.0898,-0.0607,0.0457,-0.0005
0.475,0.0129,0.0188,2.0519,0.2793,0.2765,2.1677,0.1065,0.1463,0.1227,-0.0750,0.0610,-0.0005
0.575,0.0270,0.0376,2.0659,0.3386,0.3337,2.1963,0.1708,0.2236,0.1541,-0.0816,0.0692,0.0000
0.676,0.0454,0.0614,2.0811,0.3917,0.3841,2.2215,0.2390,0.3031,0.1839,-0.0813,0.0706,0.0006
0.775,0.0723,0.0951,2.1008,0.4503,0.4387,2.2488,0.3048,0.3780,0.2120,-0.0754,0.0667,0.0013
0.877,0.1055,0.1359,2.1231,0.5086,0.4918,2.2754,0.3578,0.4372,0.2353,-0.0652,0.0590,0.0016
0.975,0.1441,0.1828,2.1479,0.5663,0.5432,2.3010,0.4075,0.4910,0.2583,-0.0527,0.0495,0.0016
1.075,0.1871,0.2342,2.1748,0.6236,0.5925,2.3257,0.4466,0.5306,0.2772,-0.0389,0.0396,0.0013
1.175,0.2335,0.2887,2.2033,0.6803,0.6398,2.3493,0.4755,0.5559,0.2914,-0.0259,0.0308,0.0009
1.275,0.2822,0.3451,2.2329,0.7365,0.6847,2.3718,0.4960,0.5685,0.3009,-0.0142,0.0238,0.0005
1.375,0.3327,0.4022,2.2633,0.7919,0.7272,2.3930,0.5101,0.5700,0.3058,-0.0042,0.0185,0.0002
1.476,0.3842,0.4589,2.2939,0.8466,0.7670,2.4130,0.5194,0.5626,0.3062,0.0032,0.0153,0.0001
1.576,0.4313,0.5089,2.3213,0.8952,0.8005,2.4297,0.5257,0.5481,0.3026,0.0096,0.0129,0.0001
1.675,0.4840,0.5629,2.3513,0.9485,0.8350,2.4470,0.5298,0.5306,0.2965,0.0145,0.0115,0.0002
1.781,0.5372,0.6147,2.3804,1.0009,0.8665,2.4627,0.5332,0.5076,0.2868,0.0181,0.0106,0.0003
