time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.091,0.0000,0.0000,2.0057,1.0000,1.0000,3.0000,0.0003,0.0006,0.0112,-0.0045,0.0026,0.0001
0.191,0.0005,0.0008,2.0094,1.0000,1.0000,3.0000,0.0120,0.0202,0.0628,-0.0444,0.0271,-0.0002
0.291,0.0040,0.0064,2.0200,1.0000,1.0000,3.0000,0.0612,0.0959,0.1443,-0.1045,0.0720,-0.0020
0.391,0.0151,0.0230,2.0395,1.0000,1.0000,3.0000,0.1603,0.2317,0.2367,-0.1522,0.1171,-0.0038
0.496,0.0386,0.0557,2.0685,1.0000,1.0000,3.0000,0.3017,0.4096,0.3313,-0.1810,0.1492,-0.0030
0.591,0.0777,0.1075,2.1070,1.0000,1.0000,3.0000,0.4675,0.6090,0.4290,-0.1908,0.1628,0.0000
0.692,0.1275,0.1714,2.1501,1.0000,1.0000,3.0000,0.6212,0.7901,0.5210,-0.1855,0.1612,0.0046
0.791,0.1986,0.2609,2.2080,1.0000,1.0000,3.0000,0.7805,0.9771,0.6296,-0.1659,0.1449,0.0084
0.891,0.2842,0.3673,2.2768,1.0000,1.0000,3.0000,0.9081,1.1219,0.7449,-0.1073,0.1027,0.0121
0.991,0.3794,0.4840,2.3571,1.0000,1.0000,3.0000,0.9734,1.1810,0.8628,-0.0189,0.0334,0.0121
1.091,0.4769,0.6011,2.4482,1.0000,1.0000,3.0000,0.9600,1.1453,0.9561,0.0596,-0.0385,0.0072
1.193,0.5605,0.7002,2.5355,1.0000,1.0000,3.0000,0.8822,1.0414,0.9815,0.1123,-0.0882,0.0026
1.291,0.6439,0.7983,2.6322,1.0000,1.0000,3.0000,0.7806,0.9140,0.9512,0.1488,-0.1198,0.0013
1.395,0.7152,0.8811,2.7235,1.0000,1.0000,3.0000,0.6556,0.7564,0.8795,0.1629,-0.1291,0.0034
1.491,0.7739,0.9480,2.8066,1.0000,1.0000,3.0000,0.5335,0.5973,0.7880,0.1623,-0.1230,0.0063
1.591,0.8211,0.9993,2.8801,1.0000,1.0000,3.0000,0.4236,0.4460,0.6903,0.1525,-0.1079,0.0079
1.691,0.8581,1.0361,2.9438,1.0000,1.0000,3.0000,0.3304,0.3089,0.5938,0.1361,-0.0892,0.0077
1.791,0.8868,1.0603,2.9982,1.0000,1.0000,3.0000,0.2548,0.1901,0.5026,0.1154,-0.0702,0.0061
1.894,0.9069,1.0728,3.0396,1.0000,1.0000,3.0000,0.2011,0.1012,0.4263,0.0947,-0.0544,0.0041
1.991,0.9244,1.0784,3.0779,1.0000,1.0000,3.0000,0.1558,0.0234,0.3493,0.0716,-0.0392,0.0019
2.091,0.9380,1.0774,3.1090,1.0000,1.0000,3.0000,0.1232,-0.0331,0.2801,0.0496,-0.0270,0.0002
2.191,0.9491,1.0719,3.1335,1.0000,1.0000,3.0000,0.1008,-0.0701,0.2183,0.0304,-0.0179,-0.0009
2.291,0.9582,1.0636,3.1523,1.0000,1.0000,3.0000,0.0856,-0.0905,0.1638,0.0146,-0.0118,-0.0014
2.391,0.9662,1.0541,3.1660,1.0000,1.0000,3.0000,0.0751,-0.0976,0.1165,0.0026,-0.0082,-0.0015
2.492,0.9733,1.0444,3.1754,1.0000,1.0000,3.0000,0.0673,-0.0949,0.0758,-0.0058,-0.0066,-0.0013
2.591,0.9790,1.0362,3.1806,1.0000,1.0000,3.0000,0.0604,-0.0857,0.0415,-0.0106,-0.0063,-0.0010
2.692,0.9847,1.0282,3.1834,1.0000,1.0000,3.0000,0.0542,-0.0743,0.0158,-0.0133,-0.0067,-0.0007
2.791,0.9898,1.0216,3.1837,1.0000,1.0000,3.0000,0.0468,-0.0604,-0.0074,-0.0137,-0.0073,-0.0004
2.892,0.9940,1.0163,3.1819,1.0000,1.0000,3.0000,0.0389,-0.0467,-0.0256,-0.0127,-0.0079,-0.0002
2.991,0.9974,1.0123,3.1785,1.0000,1.0000,3.0000,0.0307,-0.0347,-0.0394,-0.0107,-0.0080,-0.0001
3.091,1.0001,1.0094,3.1740,1.0000,1.0000,3.0000,0.0226,-0.0249,-0.0494,-0.0084,-0.0077,-0.0000
3.192,1.0019,1.0073,3.1687,1.0000,1.0000,3.0000,0.0152,-0.0174,-0.0563,-0.0061,-0.0070,0.0000
3.291,1.0030,1.0060,3.1634,1.0000,1.0000,3.0000,0.0093,-0.0127,-0.0603,-0.0042,-0.0060,0.0000
3.391,1.0036,1.0049,3.1572,1.0000,1.0000,3.0000,0.0038,-0.0091,-0.0627,-0.0026,-0.0048,0.0000
3.491,1.0037,1.0041,3.1509,1.0000,1.0000,3.0000,-0.0003,-0.0070,-0.0635,-0.0014,-0.0035,0.0000
3.596,1.0036,1.0036,3.1452,1.0000,1.0000,3.0000,-0.0031,-0.0059,-0.0630,-0.0008,-0.0023,0.0000
3.691,1.0031,1.0030,3.1383,1.0000,1.0000,3.0000,-0.0047,-0.0053,-0.0617,-0.0003,-0.0011,0.0000
3.794,1.0027,1.0025,3.1329,1.0000,1.0000,3.0000,-0.0053,-0.0050,-0.0598,-0.0002,-0.0004,0.0000
3.892,1.0021,1.0020,3.1270,1.0000,1.0000,3.0000,-0.0053,-0.0047,-0.0571,-0.0002,0.0003,0.0000
3.991,1.0016,1.0015,3.1214,1.0000,1.0000,3.0000,-0.0048,-0.0044,-0.0547,-0.0003,0.0007,0.0000
4.091,1.0012,1.0011,3.1161,1.0000,1.0000,3.0000,-0.0039,-0.0040,-0.0519,-0.0005,0.0009,0.0000
4.191,1.0009,1.0008,3.1111,1.0000,1.0000,3.0000,-0.0030,-0.0034,-0.0490,-0.0006,0.0009,-0.0000
4.291,1.0006,1.0005,3.1063,1.0000,1.0000,3.0000,-0.0021,-0.0028,-0.0462,-0.0006,0.0008,-0.0000
4.391,1.0004,1.0002,3.1019,1.0000,1.0000,3.0000,-0.0014,-0.0021,-0.0435,-0.0006,0.0006,-0.0000
4.493,1.0003,1.0001,3.0981,1.0000,1.0000,3.0000,-0.0008,-0.0015,-0.0410,-0.0006,0.0005,-0.0000
4.592,1.0003,0.9999,3.0941,1.0000,1.0000,3.0000,-0.0004,-0.0009,-0.0386,-0.0005,0.0003,-0.0000
4.692,1.0002,0.9999,3.0903,1.0000,1.0000,3.0000,-0.0002,-0.0005,-0.0366,-0.0004,0.0002,-0.0000
4.791,1.0002,0.9998,3.0868,1.0000,1.0000,3.0000,-0.0001,-0.0002,-0.0345,-0.0003,0.0001,-0.0000
4.892,1.0002,0.9998,3.0834,1.0000,1.0000,3.0000,-0.0001,0.0001,-0.0326,-0.0002,-0.0000,-0.0000
4.991,1.0002,0.9998,3.0803,1.0000,1.0000,3.0000,-0.0001,0.0002,-0.0309,-0.0001,-0.0001,-0.0000
5.091,1.0002,0.9999,3.0773,1.0000,1.0000,3.0000,-0.0002,0.0003,-0.0294,-0.0000,-0.0001,-0.0000
5.191,1.0002,0.9999,3.0747,1.0000,1.0000,3.0000,-0.0002,0.0003,-0.0280,0.0000,-0.0001,0.0000
5.291,1.0002,0.9999,3.0719,1.0000,1.0000,3.0000,-0.0003,0.0003,-0.0269,0.0000,-0.0000,0.0000
5.391,1.0001,0.9999,3.0693,1.0000,1.0000,3.0000,-0.0003,0.0002,-0.0257,0.0001,-0.0000,0.0000
5.491,1.0001,1.0000,3.0668,1.0000,1.0000,3.0000,-0.0003,0.0002,-0.0246,0.0001,0.0000,0.0000
5.591,1.0001,1.0000,3.0644,1.0000,1.0000,3.0000,-0.0003,0.0001,-0.0236,0.0001,0.0000,0.0000
5.691,1.0001,1.0000,3.0621,1.0000,1.0000,3.0000,-0.0002,0.0001,-0.0227,0.0000,0.0000,0.0000
5.793,1.0000,1.0000,3.0599,1.0000,1.0000,3.0000,-0.0002,0.0000,-0.0218,0.0000,0.0000,0.0000
