time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.040,-0.3587,-0.0970,2.0115,-0.2505,-0.0436,2.0330,-0.0024,0.0050,0.0096,-0.0493,-0.0025,0.0116
0.143,-0.3598,-0.0968,2.0137,-0.1505,0.0064,2.0530,-0.0298,-0.0042,0.0387,-0.0399,-0.0405,0.0124
0.239,-0.3653,-0.0977,2.0188,-0.0505,0.0564,2.0730,-0.0815,-0.0114,0.0601,-0.0510,-0.0557,0.0122
0.339,-0.3763,-0.0985,2.0259,0.0495,0.1064,2.0930,-0.1283,-0.0014,0.0818,-0.0743,-0.0210,0.0104
0.439,-0.3897,-0.0970,2.0353,0.1495,0.1564,2.1130,-0.1290,0.0302,0.1024,-0.0936,0.0328,0.0082
0.539,-0.4001,-0.0915,2.0463,0.2495,0.2064,2.1330,-0.0767,0.0786,0.1169,-0.1090,0.0835,0.0074
0.639,-0.4028,-0.0803,2.0586,0.3495,0.2564,2.1530,0.0198,0.1402,0.1266,-0.1202,0.1224,0.0083
0.739,-0.3941,-0.0625,2.0716,0.4495,0.3064,2.1730,0.1465,0.2105,0.1337,-0.1262,0.1459,0.0106
0.839,-0.3717,-0.0374,2.0854,0.5495,0.3564,2.1930,0.3020,0.2919,0.1420,-0.1273,0.1540,0.0134
0.939,-0.3351,-0.0049,2.1000,0.6495,0.4064,2.2130,0.4290,0.3575,0.1511,-0.1245,0.1493,0.0158
1.042,-0.2849,0.0346,2.1158,0.7495,0.4564,2.2330,0.5596,0.4253,0.1643,-0.1176,0.1356,0.0173
1.139,-0.2226,0.0805,2.1330,0.8495,0.5064,2.2530,0.6723,0.4837,0.1801,-0.1075,0.1166,0.0178
1.240,-0.1501,0.1315,2.1519,0.9495,0.5564,2.2730,0.7636,0.5298,0.1968,-0.0953,0.0958,0.0174
1.342,-0.0697,0.1864,2.1723,1.0495,0.6064,2.2930,0.8335,0.5624,0.2132,-0.0830,0.0761,0.0167
1.439,0.0166,0.2438,2.1944,1.1495,0.6564,2.3130,0.8842,0.5820,0.2273,-0.0713,0.0590,0.0159
1.541,0.1070,0.3026,2.2176,1.2495,0.7064,2.3330,0.9186,0.5901,0.2379,-0.0616,0.0451,0.0153
1.639,0.2002,0.3616,2.2418,1.3495,0.7564,2.3530,0.9409,0.5895,0.2454,-0.0549,0.0355,0.0149
1.740,0.2951,0.4203,2.2666,1.4495,0.8064,2.3730,0.9550,0.5832,0.2499,-0.0504,0.0293,0.0148
1.839,0.3912,0.4781,2.2917,1.5395,0.8514,2.3910,0.9640,0.5731,0.2513,-0.0478,0.0256,0.0149
1.939,0.4879,0.5347,2.3168,1.6495,0.9064,2.4130,0.9702,0.5615,0.2524,-0.0471,0.0238,0.0151
2.041,0.5852,0.5902,2.3421,1.7495,0.9564,2.4330,0.9750,0.5497,0.2526,-0.0474,0.0229,0.0153
2.139,0.6829,0.6446,2.3672,1.8495,1.0064,2.4530,0.9788,0.5383,0.2499,-0.0478,0.0220,0.0156
2.241,0.7810,0.6978,2.3920,1.9495,1.0564,2.4730,0.9822,0.5281,0.2466,-0.0497,0.0223,0.0157
2.339,0.8794,0.7502,2.4166,2.0495,1.1064,2.4930,0.9862,0.5201,0.2443,-0.0518,0.0229,0.0157
2.440,0.9783,0.8018,2.4408,2.1495,1.1564,2.5130,0.9903,0.5139,0.2412,-0.0530,0.0226,0.0157
2.539,1.0775,0.8529,2.4648,2.2495,1.2064,2.5330,0.9940,0.5090,0.2379,-0.0545,0.0222,0.0157
2.641,1.1871,0.9087,2.4907,2.3595,1.2614,2.5550,0.9975,0.5053,0.2342,-0.0559,0.0217,0.0157
2.739,1.2770,0.9541,2.5117,2.4495,1.3064,2.5730,1.0000,0.5032,0.2322,-0.0567,0.0212,0.0157
2.839,1.3771,1.0043,2.5348,2.5495,1.3564,2.5930,1.0022,0.5017,0.2296,-0.0571,0.0203,0.0156
2.939,1.4774,1.0544,2.5576,2.6495,1.4064,2.6130,1.0035,0.5004,0.2264,-0.0575,0.0195,0.0156
3.039,1.5778,1.1044,2.5800,2.7495,1.4564,2.6330,1.0044,0.4996,0.2236,-0.0580,0.0193,0.0155
3.139,1.6783,1.1543,2.6023,2.8495,1.5064,2.6530,1.0051,0.4992,0.2212,-0.0581,0.0189,0.0154
3.239,1.7788,1.2042,2.6243,2.9495,1.5564,2.6730,1.0055,0.4988,0.2193,-0.0581,0.0185,0.0154
3.340,1.8794,1.2541,2.6462,3.0495,1.6064,2.6930,1.0056,0.4984,0.2194,-0.0581,0.0182,0.0154
3.439,1.9799,1.3039,2.6681,3.1495,1.6564,2.7130,1.0052,0.4978,0.2188,-0.0576,0.0173,0.0154
3.540,2.0804,1.3536,2.6899,3.2495,1.7064,2.7330,1.0042,0.4969,0.2182,-0.0575,0.0169,0.0154
3.639,2.1808,1.4032,2.7117,3.3495,1.7564,2.7530,1.0032,0.4960,0.2178,-0.0575,0.0169,0.0154
3.739,2.2810,1.4528,2.7334,3.4495,1.8064,2.7730,1.0022,0.4950,0.2161,-0.0574,0.0168,0.0154
3.839,2.3812,1.5022,2.7550,3.5495,1.8564,2.7930,1.0016,0.4942,0.2160,-0.0579,0.0174,0.0154
3.939,2.4814,1.5516,2.7766,3.6495,1.9064,2.8130,1.0015,0.4936,0.2153,-0.0579,0.0175,0.0154
4.045,2.5815,1.6010,2.7980,3.7495,1.9564,2.8330,1.0014,0.4930,0.2137,-0.0578,0.0174,0.0153
4.139,2.6817,1.6502,2.8194,3.8495,2.0064,2.8530,1.0016,0.4926,0.2132,-0.0582,0.0177,0.0153
4.239,2.7819,1.6995,2.8406,3.9495,2.0564,2.8730,1.0021,0.4924,0.2117,-0.0583,0.0177,0.0153
4.341,2.8921,1.7536,2.8638,4.0595,2.1114,2.8950,1.0028,0.4924,0.2105,-0.0585,0.0179,0.0152
4.442,2.9824,1.7980,2.8828,4.1495,2.1564,2.9130,1.0036,0.4926,0.2106,-0.0586,0.0177,0.0152
4.539,3.0828,1.8472,2.9039,4.2495,2.2064,2.9330,1.0042,0.4926,0.2107,-0.0583,0.0172,0.0152
4.639,3.1832,1.8965,2.9249,4.3495,2.2564,2.9530,1.0042,0.4925,0.2101,-0.0582,0.0167,0.0152
