time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.035,-0.3298,-0.1536,2.0118,-0.3166,-0.1402,2.0186,-0.0006,-0.0042,-0.0039,-0.0524,-0.0041,0.0110
0.134,-0.3299,-0.1540,2.0123,-0.2566,-0.0803,2.0485,-0.0037,-0.0062,0.0143,-0.0437,-0.0164,0.0115
0.232,-0.3316,-0.1555,2.0153,-0.1967,-0.0206,2.0784,-0.0342,-0.0242,0.0462,-0.0251,-0.0590,0.0121
0.332,-0.3386,-0.1592,2.0218,-0.1369,0.0386,2.1080,-0.1089,-0.0473,0.0809,-0.0402,-0.0775,0.0121
0.432,-0.3525,-0.1639,2.0313,-0.0773,0.0971,2.1372,-0.1655,-0.0421,0.1097,-0.0725,-0.0520,0.0111
0.532,-0.3709,-0.1665,2.0440,-0.0179,0.1547,2.1660,-0.1929,-0.0080,0.1412,-0.0984,-0.0090,0.0092
0.632,-0.3897,-0.1643,2.0596,0.0413,0.2112,2.1943,-0.1722,0.0553,0.1710,-0.1178,0.0334,0.0081
0.736,-0.4046,-0.1556,2.0777,0.1000,0.2664,2.2218,-0.1210,0.1213,0.1912,-0.1306,0.0669,0.0086
0.833,-0.4123,-0.1390,2.0979,0.1584,0.3200,2.2487,-0.0297,0.2106,0.2120,-0.1355,0.0882,0.0104
0.934,-0.4110,-0.1143,2.1199,0.2164,0.3720,2.2747,0.0572,0.2845,0.2271,-0.1339,0.0971,0.0128
1.032,-0.3998,-0.0815,2.1435,0.2739,0.4221,2.2997,0.1556,0.3619,0.2428,-0.1274,0.0954,0.0150
1.132,-0.3792,-0.0415,2.1685,0.3308,0.4701,2.3237,0.2473,0.4299,0.2578,-0.1170,0.0865,0.0163
1.232,-0.3499,0.0047,2.1951,0.3871,0.5158,2.3466,0.3267,0.4851,0.2716,-0.1040,0.0736,0.0167
1.332,-0.3136,0.0555,2.2228,0.4428,0.5592,2.3683,0.3914,0.5251,0.2830,-0.0892,0.0591,0.0163
1.432,-0.2715,0.1095,2.2515,0.4978,0.6000,2.3886,0.4410,0.5493,0.2907,-0.0742,0.0449,0.0157
1.532,-0.2254,0.1651,2.2808,0.5520,0.6380,2.4077,0.4767,0.5585,0.2949,-0.0609,0.0326,0.0150
1.632,-0.1813,0.2153,2.3073,0.6002,0.6699,2.4236,0.4990,0.5559,0.2946,-0.0504,0.0236,0.0145
1.732,-0.1252,0.2757,2.3394,0.6581,0.7055,2.4414,0.5165,0.5412,0.2898,-0.0404,0.0153,0.0141
