time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.023,-0.3578,-0.0926,2.0000,-0.3539,0.0000,2.0065,0.0016,-0.0021,0.0001,-0.0520,0.0049,0.0111
0.123,-0.3577,-0.0928,2.0007,-0.3239,0.0000,2.0565,-0.0005,-0.0024,0.0161,-0.0521,-0.0056,0.0115
0.223,-0.3589,-0.0931,2.0039,-0.2939,0.0000,2.1063,-0.0295,-0.0026,0.0502,-0.0520,-0.0525,0.0127
0.323,-0.3659,-0.0933,2.0118,-0.2639,0.0000,2.1559,-0.1101,-0.0023,0.1005,-0.0505,-0.0936,0.0128
0.423,-0.3824,-0.0936,2.0243,-0.2339,0.0000,2.2050,-0.2184,-0.0048,0.1533,-0.0469,-0.0865,0.0112
0.524,-0.4078,-0.0944,2.0420,-0.2039,0.0000,2.2537,-0.2897,-0.0118,0.2079,-0.0428,-0.0507,0.0096
0.623,-0.4385,-0.0960,2.0652,-0.1739,0.0000,2.3017,-0.3169,-0.0204,0.2567,-0.0412,-0.0075,0.0090
0.726,-0.4699,-0.0986,2.0937,-0.1439,0.0000,2.3490,-0.3050,-0.0299,0.3083,-0.0424,0.0329,0.0091
0.823,-0.4980,-0.1020,2.1271,-0.1139,0.0000,2.3954,-0.2560,-0.0366,0.3542,-0.0461,0.0639,0.0096
0.923,-0.5197,-0.1058,2.1646,-0.0839,0.0000,2.4408,-0.1816,-0.0383,0.3928,-0.0514,0.0833,0.0103
1.023,-0.5331,-0.1094,2.2058,-0.0539,0.0000,2.4851,-0.0941,-0.0343,0.4253,-0.0571,0.0913,0.0110
1.123,-0.5376,-0.1124,2.2498,-0.0239,0.0000,2.5282,-0.0048,-0.0249,0.4523,-0.0617,0.0898,0.0116
1.223,-0.5335,-0.1142,2.2963,0.0061,0.0000,2.5700,0.0780,-0.0118,0.4745,-0.0648,0.0813,0.0120
1.324,-0.5216,-0.1146,2.3447,0.0361,0.0000,2.6103,0.1489,0.0030,0.4911,-0.0659,0.0689,0.0121
1.423,-0.5035,-0.1135,2.3945,0.0661,0.0000,2.6492,0.2054,0.0175,0.5031,-0.0649,0.0550,0.0120
1.524,-0.4805,-0.1110,2.4452,0.0961,0.0000,2.6864,0.2507,0.0308,0.5103,-0.0624,0.0415,0.0118
1.624,-0.4540,-0.1075,2.4963,0.1231,0.0000,2.7184,0.2760,0.0386,0.5118,-0.0590,0.0297,0.0115
1.723,-0.4254,-0.1033,2.5474,0.1561,0.0000,2.7556,0.2938,0.0436,0.5086,-0.0552,0.0204,0.0112
1.823,-0.3954,-0.0989,2.5978,0.1861,0.0000,2.7874,0.3035,0.0446,0.5008,-0.0518,0.0134,0.0110
1.931,-0.3648,-0.0945,2.6473,0.2161,0.0000,2.8172,0.3074,0.0423,0.4890,-0.0489,0.0089,0.0109
