time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.021,-0.3019,-0.0816,2.0166,-0.2687,0.0000,2.0167,-0.0101,0.0004,-0.0059,-0.0451,0.0043,0.0081
0.121,-0.3030,-0.0816,2.0167,0.0313,0.0000,2.0167,-0.0121,0.0002,0.0087,-0.0452,-0.0047,0.0084
0.221,-0.3049,-0.0816,2.0188,0.3313,0.0000,2.0167,-0.0262,0.0010,0.0280,-0.0451,-0.0090,0.0084
0.321,-0.3076,-0.0814,2.0218,0.6313,0.0000,2.0167,-0.0216,0.0014,0.0323,-0.0445,0.0394,0.0070
0.421,-0.3067,-0.0813,2.0251,0.9313,0.0000,2.0167,0.0454,0.0008,0.0319,-0.0448,0.1152,0.0059
0.521,-0.2951,-0.0812,2.0276,1.2313,0.0000,2.0167,0.1836,0.0015,0.0174,-0.0482,0.1856,0.0059
0.621,-0.2664,-0.0808,2.0281,1.5313,0.0000,2.0167,0.3795,0.0071,-0.0069,-0.0543,0.2367,0.0068
0.721,-0.2158,-0.0795,2.0261,1.8313,0.0000,2.0167,0.6128,0.0198,-0.0330,-0.0614,0.2645,0.0082
0.821,-0.1409,-0.0765,2.0216,2.1013,0.0000,2.0167,0.8621,0.0403,-0.0542,-0.0685,0.2708,0.0098
0.921,-0.0410,-0.0710,2.0155,2.4313,0.0000,2.0167,1.1081,0.0676,-0.0636,-0.0736,0.2579,0.0114
1.021,0.0824,-0.0625,2.0090,2.7313,0.0000,2.0167,1.3332,0.0988,-0.0619,-0.0755,0.2313,0.0127
1.121,0.2266,-0.0509,2.0032,3.0313,0.0000,2.0167,1.5262,0.1298,-0.0496,-0.0736,0.1971,0.0133
1.225,0.3880,-0.0364,1.9989,3.3313,0.0000,2.0167,1.6810,0.1562,-0.0314,-0.0680,0.1601,0.0134
1.321,0.5628,-0.0197,1.9966,3.6313,0.0000,2.0167,1.7973,0.1747,-0.0114,-0.0598,0.1250,0.0130
1.423,0.7662,0.0002,1.9964,3.9613,0.0000,2.0167,1.8851,0.1837,0.0105,-0.0493,0.0915,0.0125
1.521,0.9383,0.0167,1.9979,4.2313,0.0000,2.0167,1.9306,0.1818,0.0251,-0.0411,0.0693,0.0122
1.622,1.1331,0.0344,2.0009,4.5313,0.0000,2.0167,1.9599,0.1713,0.0364,-0.0335,0.0510,0.0120
1.721,1.3299,0.0506,2.0048,4.8313,0.0000,2.0167,1.9735,0.1540,0.0430,-0.0281,0.0390,0.0121
1.823,1.5276,0.0648,2.0093,5.1313,0.0000,2.0167,1.9779,0.1325,0.0460,-0.0252,0.0327,0.0124
1.921,1.7254,0.0768,2.0138,5.4313,0.0000,2.0167,1.9777,0.1091,0.0452,-0.0243,0.0301,0.0127
2.021,1.9231,0.0864,2.0181,5.7313,0.0000,2.0167,1.9762,0.0859,0.0404,-0.0252,0.0301,0.0130
2.121,2.1206,0.0938,2.0218,6.0313,0.0000,2.0167,1.9756,0.0643,0.0349,-0.0275,0.0320,0.0132
2.221,2.3183,0.0992,2.0250,6.3313,0.0000,2.0167,1.9771,0.0455,0.0292,-0.0306,0.0341,0.0133
2.321,2.5161,0.1028,2.0276,6.6313,0.0000,2.0167,1.9803,0.0301,0.0235,-0.0341,0.0355,0.0134
2.421,2.7144,0.1052,2.0297,6.9313,0.0000,2.0167,1.9845,0.0182,0.0181,-0.0374,0.0362,0.0134
2.521,2.9131,0.1065,2.0313,7.2313,0.0000,2.0167,1.9892,0.0095,0.0146,-0.0405,0.0363,0.0134
2.624,3.1322,0.1071,2.0327,7.5613,0.0000,2.0167,1.9940,0.0031,0.0113,-0.0433,0.0352,0.0134
2.721,3.3118,0.1072,2.0335,7.8313,0.0000,2.0167,1.9968,-0.0001,0.0080,-0.0449,0.0343,0.0133
2.822,3.5116,0.1071,2.0342,8.1313,0.0000,2.0167,1.9994,-0.0025,0.0059,-0.0463,0.0333,0.0133
2.921,3.7116,0.1068,2.0347,8.4313,0.0000,2.0167,2.0005,-0.0035,0.0028,-0.0471,0.0322,0.0133
3.026,3.9117,0.1064,2.0348,8.7313,0.0000,2.0167,2.0012,-0.0042,-0.0002,-0.0475,0.0319,0.0133
3.121,4.1119,0.1059,2.0348,9.0313,0.0000,2.0167,2.0017,-0.0046,-0.0005,-0.0479,0.0314,0.0132
3.221,4.3120,0.1055,2.0347,9.3313,0.0000,2.0167,2.0015,-0.0048,-0.0007,-0.0480,0.0304,0.0133
3.321,4.5121,0.1050,2.0345,9.6313,0.0000,2.0167,2.0005,-0.0051,-0.0026,-0.0479,0.0297,0.0133
3.421,4.7121,0.1044,2.0341,9.9313,0.0000,2.0167,1.9993,-0.0056,-0.0047,-0.0478,0.0299,0.0133
3.521,4.9120,0.1038,2.0336,10.2313,0.0000,2.0167,1.9986,-0.0063,-0.0063,-0.0478,0.0303,0.0132
3.621,5.1118,0.1032,2.0329,10.5313,0.0000,2.0167,1.9984,-0.0070,-0.0074,-0.0479,0.0305,0.0133
3.722,5.3117,0.1024,2.0321,10.8313,0.0000,2.0167,1.9983,-0.0076,-0.0080,-0.0480,0.0305,0.0133
3.821,5.5115,0.1016,2.0313,11.1313,0.0000,2.0167,1.9985,-0.0081,-0.0057,-0.0482,0.0306,0.0133
3.923,5.7313,0.1007,2.0308,11.4613,0.0000,2.0167,1.9983,-0.0084,-0.0041,-0.0485,0.0293,0.0133
4.021,5.9111,0.1000,2.0304,11.7313,0.0000,2.0167,1.9973,-0.0087,-0.0049,-0.0484,0.0290,0.0133
4.128,6.0908,0.0992,2.0300,12.0013,0.0000,2.0167,1.9966,-0.0091,-0.0055,-0.0484,0.0297,0.0133
4.221,6.3105,0.0981,2.0295,12.3313,0.0000,2.0167,1.9968,-0.0096,-0.0026,-0.0487,0.0302,0.0133
4.321,6.5102,0.0971,2.0294,12.6313,0.0000,2.0167,1.9967,-0.0099,-0.0017,-0.0489,0.0290,0.0133
4.421,6.7098,0.0961,2.0292,12.9313,0.0000,2.0167,1.9959,-0.0101,-0.0014,-0.0488,0.0290,0.0133
4.521,6.9094,0.0951,2.0291,13.2313,0.0000,2.0167,1.9953,-0.0104,-0.0003,-0.0490,0.0285,0.0133
4.621,7.1088,0.0941,2.0290,13.5313,0.0000,2.0167,1.9944,-0.0107,-0.0024,-0.0489,0.0289,0.0133
4.721,7.3083,0.0930,2.0287,13.8313,0.0000,2.0167,1.9948,-0.0111,-0.0025,-0.0490,0.0304,0.0132
4.821,7.5078,0.0918,2.0284,14.1313,0.0000,2.0167,1.9961,-0.0114,-0.0035,-0.0493,0.0304,0.0133
4.921,7.7075,0.0907,2.0281,14.4313,0.0000,2.0167,1.9975,-0.0114,-0.0032,-0.0495,0.0301,0.0133
5.026,7.9273,0.0894,2.0278,14.7613,0.0000,2.0167,1.9987,-0.0113,-0.0022,-0.0497,0.0299,0.0133
5.121,8.1072,0.0884,2.0276,15.0313,0.0000,2.0167,1.9994,-0.0112,-0.0033,-0.0498,0.0290,0.0133
5.224,8.3272,0.0872,2.0271,15.3613,0.0000,2.0167,1.9998,-0.0111,-0.0036,-0.0498,0.0292,0.0133
5.321,8.5072,0.0862,2.0269,15.6313,0.0000,2.0167,2.0003,-0.0110,-0.0026,-0.0500,0.0286,0.0133
5.421,8.7072,0.0851,2.0266,15.9313,0.0000,2.0167,2.0000,-0.0108,-0.0039,-0.0499,0.0277,0.0133
5.521,8.9072,0.0840,2.0261,16.2313,0.0000,2.0167,1.9997,-0.0108,-0.0054,-0.0498,0.0282,0.0133
5.621,9.1072,0.0830,2.0255,16.5313,0.0000,2.0167,2.0001,-0.0109,-0.0058,-0.0499,0.0287,0.0132
5.721,9.3072,0.0819,2.0250,16.8313,0.0000,2.0167,2.0008,-0.0110,-0.0049,-0.0501,0.0282,0.0133
5.821,9.5073,0.0808,2.0245,17.1313,0.0000,2.0167,2.0008,-0.0109,-0.0048,-0.0501,0.0277,0.0133
5.921,9.7074,0.0797,2.0241,17.4313,0.0000,2.0167,2.0009,-0.0108,-0.0026,-0.0502,0.0275,0.0133
6.021,9.9075,0.0786,2.0238,17.7313,0.0000,2.0167,2.0003,-0.0108,-0.0030,-0.0502,0.0265,0.0133
6.125,10.1075,0.0775,2.0235,18.0313,0.0000,2.0167,1.9995,-0.0109,-0.0042,-0.0501,0.0269,0.0132
6.221,10.3074,0.0764,2.0230,18.3313,0.0000,2.0167,1.9995,-0.0110,-0.0043,-0.0502,0.0276,0.0132
6.322,10.5074,0.0753,2.0228,18.6313,0.0000,2.0167,2.0001,-0.0111,-0.0017,-0.0504,0.0274,0.0132
6.421,10.7074,0.0742,2.0226,18.9313,0.0000,2.0167,1.9999,-0.0110,-0.0022,-0.0504,0.0263,0.0132
