time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.053,-0.3309,-0.1562,2.0045,-0.2964,0.0000,2.0367,-0.0017,-0.0010,0.0011,-0.0527,-0.0045,0.0112
0.153,-0.3313,-0.1563,2.0061,-0.2164,0.0000,2.1117,-0.0083,-0.0007,0.0320,-0.0525,-0.0250,0.0118
0.253,-0.3341,-0.1563,2.0127,-0.1364,0.0000,2.1867,-0.0509,0.0005,0.0979,-0.0517,-0.0656,0.0126
0.361,-0.3429,-0.1562,2.0263,-0.0564,0.0000,2.2617,-0.1190,0.0016,0.1684,-0.0503,-0.0644,0.0115
0.453,-0.3577,-0.1561,2.0476,0.0236,0.0000,2.3367,-0.1645,0.0000,0.2510,-0.0469,-0.0248,0.0099
0.553,-0.3744,-0.1563,2.0774,0.1036,0.0000,2.4117,-0.1606,-0.0048,0.3356,-0.0448,0.0251,0.0091
0.653,-0.3879,-0.1571,2.1154,0.1836,0.0000,2.4867,-0.0976,-0.0104,0.4234,-0.0459,0.0702,0.0092
0.753,-0.3936,-0.1583,2.1610,0.2636,0.0000,2.5617,-0.0093,-0.0123,0.4886,-0.0497,0.1037,0.0099
0.853,-0.3879,-0.1594,2.2135,0.3436,0.0000,2.6367,0.1133,-0.0095,0.5544,-0.0550,0.1224,0.0107
0.953,-0.3693,-0.1599,2.2723,0.4236,0.0000,2.7117,0.2462,-0.0008,0.6147,-0.0605,0.1267,0.0116
1.053,-0.3375,-0.1593,2.3369,0.5036,0.0000,2.7867,0.3875,0.0149,0.6754,-0.0650,0.1194,0.0123
1.153,-0.2935,-0.1571,2.4067,0.5836,0.0000,2.8617,0.4905,0.0306,0.7210,-0.0675,0.1047,0.0127
1.256,-0.2389,-0.1530,2.4813,0.6636,0.0000,2.9367,0.5860,0.0488,0.7655,-0.0676,0.0859,0.0128
1.353,-0.1760,-0.1472,2.5600,0.7436,0.0000,3.0117,0.6598,0.0653,0.8048,-0.0655,0.0663,0.0126
1.460,-0.0997,-0.1391,2.6506,0.8316,0.0000,3.0942,0.7171,0.0790,0.8396,-0.0612,0.0467,0.0121
1.554,-0.0335,-0.1316,2.7272,0.9036,0.0000,3.1617,0.7479,0.0857,0.8613,-0.0569,0.0335,0.0116
1.653,0.0426,-0.1228,2.8143,0.9836,0.0000,3.2367,0.7689,0.0882,0.8789,-0.0523,0.0222,0.0113
1.753,0.1202,-0.1141,2.9029,1.0636,0.0000,3.3117,0.7800,0.0860,0.8913,-0.0483,0.0149,0.0110
1.853,0.1985,-0.1058,2.9925,1.1436,0.0000,3.3867,0.7851,0.0801,0.8989,-0.0452,0.0108,0.0109
1.953,0.2772,-0.0982,3.0826,1.2236,0.0000,3.4617,0.7868,0.0715,0.9029,-0.0432,0.0087,0.0109
2.053,0.3559,-0.0916,3.1729,1.3036,0.0000,3.4722,0.7871,0.0614,0.9017,-0.0423,0.0080,0.0111
2.153,0.4346,-0.0860,3.2613,1.3836,0.0000,3.3972,0.7871,0.0504,0.8590,-0.0422,0.0093,0.0112
2.253,0.5133,-0.0817,3.3419,1.4636,0.0000,3.3222,0.7889,0.0385,0.7538,-0.0422,0.0133,0.0112
2.353,0.5925,-0.0785,3.4093,1.5436,0.0000,3.2472,0.7941,0.0266,0.6042,-0.0433,0.0180,0.0113
2.453,0.6723,-0.0764,3.4602,1.6236,0.0000,3.1722,0.8020,0.0156,0.4281,-0.0455,0.0207,0.0114
2.555,0.7611,-0.0753,3.4951,1.7116,0.0000,3.0897,0.8116,0.0058,0.2231,-0.0488,0.0208,0.0115
2.653,0.8345,-0.0751,3.5068,1.7836,0.0000,3.0222,0.8187,0.0000,0.0573,-0.0516,0.0193,0.0116
